"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AT5G38300"	1.62679213504973	2.34879642203589	6.30832283101992	3.15441768964913e-06	0.00055412604081503	4.63405463747668
"AT1G13740"	0.899134810655743	3.95708538552077	6.2967272286549	3.23620374031791e-06	0.000563794833437202	4.65332908806329
"AT5G05090"	-1.18594578528238	2.66153126166732	-6.28307805662572	3.33526687757436e-06	0.00057023411803276	4.59404249019429
"AT1G73600"	2.36016393756558	5.81583854222349	6.28283889587037	3.33703011729601e-06	0.00057023411803276	4.56659593159944
"AT5G45200"	1.01488188939474	3.60098817039306	6.27417492891137	3.40155498501168e-06	0.00057023411803276	4.61612601669851
"AT3G07410"	1.04279905738427	4.10943463926132	6.2734190901286	3.40724442519496e-06	0.00057023411803276	4.59998155097566
"AT3G50400"	-1.9454399637199	5.00866993452845	-6.27204675515972	3.41759938477637e-06	0.00057023411803276	4.55800335959509
"AT1G04680"	0.935878590490994	6.55239493176833	6.26395552387515	3.47931128540989e-06	0.00057023411803276	4.47537179748304
"AT3G49680"	0.680543299614005	6.11049759271025	6.26034604002728	3.50720828600586e-06	0.00057023411803276	4.46987889089078
"AT1G28170"	-2.01301220511221	2.03461477396816	-6.25416436183702	3.55551917531373e-06	0.00057023411803276	4.34472132580544
"AT1G61820"	-1.29445406866446	6.61489893009414	-6.25290291744279	3.56546111357149e-06	0.00057023411803276	4.45282923856603
"AT3G02020"	2.25851330436594	6.75885921907195	6.25251228774925	3.56854559572042e-06	0.00057023411803276	4.45460672877118
"AT1G07820"	0.820234308223757	6.3342506545959	6.25223636545273	3.57072597629622e-06	0.00057023411803276	4.45232291098199
"AT3G58990"	2.07918317362657	5.98044795650966	6.24509467177328	3.62763847889968e-06	0.000574967061166956	4.45817033440159
"AT5G05560"	0.953265711840523	4.54352395736902	6.23263926450934	3.72913165486886e-06	0.000575478373068126	4.4881117349157
"AT1G36370"	-0.603497788874009	5.76076838666775	-6.23206266138977	3.73390001716006e-06	0.000575478373068126	4.41780871339203
"AT5G55820"	1.12333465192769	4.71763834855685	6.22819408975494	3.76605419215172e-06	0.000575478373068126	4.46947083132463
"AT3G63430"	1.56872519657613	3.70736497939476	6.22807320101618	3.76706353705179e-06	0.000575478373068126	4.51851644986903
